common_name,scientific_name,moisture_needs,moisture_needs,sunlight_needs,sunlight_needs,hardiness_zones,hardiness_zones,img,key,uses,source
Little River Wattle,Acacia cognata 'Cousin Itt',{50},Dry Mesic,{20},Full Sun to Partial Shade,{90},9a (20°F to 25°F),https://drive.google.com/open?id=1gkjS056M_I5kefbWXalDLO2tBN8JuZzF,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,http://www.naturalmedicinalherbs.net/herbs/a/acacia-farnesiana=sweet-acacia.php
Huisache / Sweet Acacia,Acacia farnesiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,{85},8b (15°F to 20°F),https://drive.google.com/open?id=1LSiMI1HeiwszjgUxiBp6lWkbyOalhLoV,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.","The bark is astringent and demulcent. Along with the leaves and roots it is used for medicinal purposes. Colombians bathe in the bark decoction as a treatment for typhoid. The gummy roots have been chewed as a treatment for sore throat. A decoction of the gum from the trunk has been used in the treatment of diarrhoea. An infusion of the flowers has been used as a stomachic. It is also used in the treatment of dyspepsia and neuroses. The flowers are added to ointment, which is rubbed on the forehead to treat headaches. The powdered dried leaves have been applied externally as a treatment for wounds. The green pods have been decocted and used in the treatment of dysentery and inflammations of the skin and raucous membranes. An infusion of the pod has been used in the treatment of sore throats, diarrhoea, leucorrhoea, conjunctivitis, and uterorrhagia. The juice of the bark is used in Nepal to treat swellings.",http://www.naturalmedicinalherbs.net/herbs/a/acacia-farnesiana=sweet-acacia.php
Pearl Acacia,Acacia podalyriifolia,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,{95},9b (25°F to 30°F) ,https://drive.google.com/open?id=12xPNlPCghBCcEDt3F-L_ictmPc14Y-56,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.","Flowers - cooked. Rich in pollen, they are often used in fritters.The flowers have a delicate sweet perfume.         
                         
The bark of all Acacia species contains greater or lesser quantities of tannins and are astringent. Astringents are often used medicinally - taken internally, for example. they are used in the treatment of diarrhoea and dysentery, and can also be helpful in cases of internal bleeding. Applied externally, often as a wash, they are used to treat wounds and other skin problems, haemorrhoids, perspiring feet, some eye problems, as a mouth wash etc. Many Acacia trees also yield greater or lesser quantities of a gum from the trunk and stems. This is sometimes taken internally in the treatment of diarrhoea and haemorrhoids

When planted on steep slopes or other fragile soil systems, the extensive root system of this plant binds the soil together and helps to prevent erosion. The plant has a dense, thorny growth. It can be used to provide low shelter and protection from the wind. A good source of pollen for bees.
",http://temperate.theferns.info/plant/Acacia+podalyriifolia
Creeping Wattle,Acacia saligna,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,{90},9a (20°F to 25°F),https://drive.google.com/open?id=1LQQY4NdsxYBgFdMFdSGL54O-5GOKugtb,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.","Acacia saligna can be used for multiple purposes, as it grows under a wide range of soil conditions into a woody shrub or tree. It has been used for tanning, revegetation, animal fodder, mine site rehabilitation, firewood, mulch, agroforestry and as a decorative plant.",https://en.wikipedia.org/wiki/Acacia_saligna
Palo Blanco,Acacia willardiana,{40},Mesic,"{10,20}",Full Sun to Partial Shade,{95},9b (25°F to 30°F) ,https://drive.google.com/open?id=19-P_6Ii4ftULdpVDo3UcLUDVceBq2LOM,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","M. willardiana is great for transition and mini-oasis landscapes. The tree's thornless, weeping canopy makes for light shade that is great for succulents and patios. Willard's acacia is often used for patios by itself, and in groups when creating a grove effect.",https://apps.cals.arizona.edu/arboretum/taxon.aspx?id=10
Chenille Plant,Acalypha pendula,{40},Mesic,"{10,20,30,40}",Full Sun to Partial Shade,{90},9a (20°F to 25°F),https://drive.google.com/open?id=1CCKrvMTULnPcQyI4NLZtKHDwbITQUhj7,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Copper Plant / Acalypha,Acalypha wilkesiana,{40},Mesic,"{20,30}",Full Sun to Dappled Shade,{100},10a (30°F to 35°F),https://drive.google.com/open?id=1J6-K-O8fI85tA2pznz6E78irnsxgk9st,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","Acalypha wilkesiana is a plant that is attracting research interest due to its widely reported application in
traditional health care systems. Acalypha wilkesiana is reportedly used in the treatment of a number of diseases
including diarrhea, gastrointestinal disorders, fungal skin infections, hypertension and diabetes mellitus among
others. ",https://www.longdom.org/open-access/acalypha-wilkesiana-therapeutic-and-toxic-potential-jmsp-rev-1000122.pdf
Bear's Breeches,Acanthus,"{30,40}","Wet Mesic, Mesic",{30},Partial or Dappled Shade,{60},6a (-10°F to -5°F),https://drive.google.com/open?id=1Mw9TslYx09ybE1fBP-MKBNI1BmjBXTQH,"Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.  Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","As an infusion, acanthus was thought to be a diuretic. It was also used to relieve wind and spasms and to soothe damaged nerves. It is the mucilage and tannin found in acanthus, which allows it to be used externally to ease irritation and internally to heal and protect.",https://www.hillviewhardyplants.com/acanthus-history-and-medicine/
Bear's Breeches,Acanthus mollis,"{40,50,60}","Mesic, Dry Mesic, Dry",{30},Partial or Dappled Shade,{70},7a (0°F to 5°F),https://drive.google.com/open?id=1uVJOwAv85c_J2ipMseiwBeY2Ox9pdtiH,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.","The leaves and roots are astringent, detergent, emollient and vulnerary. The plant contains appreciable quantities of mucilage and tannin. Traditionally it was used as a treatment for dislocated joints and for burns.",https://pfaf.org/user/Plant.aspx?LatinName=Acanthus+mollis
Pineapple Guava / Feijoa,Acca sellowiana,{40},Mesic,"{10,20}",Full Sun to Partial Shade,{90},9a (20°F to 25°F),https://drive.google.com/open?id=18wi57RuUo1yJDwFh147Haj-bURMTEyUV,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","The feijoa fruit is sweet and said to resemble a combination of pineapple, guava, and strawberry with minty overtones. When eaten raw, as is most common, the feijoa is simply cut in half and then scooped out with a spoon. In South America, the bitter skin is sometimes eaten along with it. Feijoas can be placed into salads, chutneys, and deserts such as puddings, cakes, and pies. They can be used in recipes as a substitute for apples. In New Zealand, the fruit can be found as flavoring in yogurts, ice creams, and soft drinks, while Brazilians like to use it in preserves. Feijoas is also be used to make wines in Asia or juices and ciders in New Zealand.",http://www.aihd.ku.edu/foods/feijoa.html
Hedge Maple,Acer campestre,{40},Mesic,{20},Full Sun to Partial Shade,{60},6a (-10°F to -5°F),https://drive.google.com/open?id=1ZQYUEsCxCMZQVTyuwx2-fVV0A_1JXf5r,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","The leaves are packed around apples, rootcrops etc to help preserve them. A fast growing plant and bearing clipping well, it makes an excellent clipped hedge and can also be used as part of a native wildlife hedge where it is only trimmed every 3 - 4 years. It has also been used in topiary.",http://www.naturalmedicinalherbs.net/herbs/a/acer-campestre=field-maple.php
Vine Maple,Acer circinatum,{40},Mesic,{10},Full Sun,{60},6a (-10°F to -5°F),https://drive.google.com/open?id=1dKRS32MJ0SgI4kgjRxTmx-JwvpTlnTlo,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","Wildlife: The seeds of this and other maples are consumed by songbirds, game birds, and large and small mammals. Use Other: Coast Salish people have used the vine maple for frames for fishing nets, and the lower Thompson peopled have used it for making snowshoes and cradle frames.",https://www.wildflower.org/plants/result.php?id_plant=ACCI
Amur Maple,Acer ginnala,{40},Mesic,{20},Full Sun to Partial Shade,"{25,20}",2a (-50°F to -45°F),https://drive.google.com/open?id=12P7nZ78L8ka5PxVbzz2ykhFLWxAYtt6o,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","Their extracts have astringent properties and are used in cancer research. The young leaves of the Amur Maple have been used as a tea substitute. The dried leaves of the Acer ginnala are used to prepare black, blue and brown dyes.",https://dengarden.com/landscaping/Amur-Maple-Acer-ginnala-Facts-Uses-Pests-and-Diseases
Big Tooth Maple,Acer grandidentatum,{30},Wet Mesic,{20},Full Sun to Partial Shade,"{35,30}",3a (-40°F to -35°F),https://drive.google.com/open?id=1QczFJr1KhXVH2ppDHC30he9h81s2chPH,"Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.c",,
Chalk maple,Acer leucoderme,{40},Mesic,"{10,20,30,40,50}",Full Sun to Full Shade,{55},5b (-15°F to -10°F),https://drive.google.com/open?id=1EnDkL6ntLSQv71b6vvPrDllhlukfKNVG,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Boxelder / Ash-Leaved Maple,Acer negundo,{40},Mesic,{10},Full Sun,{20},2a (-50°F to -45°F),https://drive.google.com/open?id=1qiHQ1pjP1w5QxW-5__jhhxdZojmFirsP,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","It has been used for household implements, handicrafts, barrels, and occasionally furniture. Like all maples, the sap of box elder can be tapped for syrup. Unlike most other maples, A. negundo is fully dioecious and both a male and female tree are needed for either to reproduce.",https://en.wikipedia.org/wiki/Acer_negundo
Japanese Maple,Acer palmatum,{40},Mesic,"{20,30}",Full Sun to Dappled Shade,{60},6a (-10°F to -5°F),https://drive.google.com/open?id=1Xlxl3Q5tmYOlkrirfRtoyiqoFEQxERAW,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Striped Maple,Acer pensylvanicum,{40},Mesic,{30},Partial or Dappled Shade,{55},5b (-15°F to -10°F),https://drive.google.com/open?id=1OZty6n3-k5UTa5KB5bRZFaGM2pCSBh1z,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","Native American tribes used the the Striped Maple to treat a variety of ailments including bronchial and kidney troubles, colds, and coughs.",https://www.adirondackvic.org/Trees-of-the-Adirondacks-Striped-Maple-Acer-pensylvanicum.html
European Maple,Acer platanoides Princeton Gold®,{40},Mesic,{10},Full Sun,{20},2a (-50°F to -45°F),https://drive.google.com/open?id=1nVqM9VUEZR1Xe5DoiSPKzdYo_cerGLmZ,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","The sap contains a certain amount of sugar and can either be used as a drink, or can be concentrated into a syrup by boiling off the water. The syrup is used as a sweetener on many foods. The concentration of sugar is considerably lower than in the sugar maples (Acer saccharum). 

The trees are fairly wind tolerant and are often used in to give protection from the wind in mixed shelterbelts.   They are fast-growing and rapidly produce a screen.  

We have two reports that the leaves of maple species, when laid in layers between crops such as apples, carrots and potatoes, have a preservative effect.

The reports do not name any specific species. A rose colored dye is obtained from the bark.  The heartwood is white and not clearly demarcated from the sapwood. The wood is close-grained, hard and heavy. It is used for small domestic items.  The wood is used sparingly as a lumber species in Europe for veneer and for specialty items such as tool handles, gun stocks and violins.
",http://temperate.theferns.info/plant/Acer+platanoides
Red Maple,Acer rubrum,"{20,30,40,50,60}","Wet, Wet Mesic, Mesic, Dry Mesic, Dry","{10,20}",Full Sun to Partial Shade,{80},8a (10°F to 15°F),https://drive.google.com/open?id=1WBn3mn5cCXsJldlbDh5XHjhR1cMW0CaI,"Wet Soils: Hydric or wet soils are characteristic of wetland or shoreline areas. The soils are usually saturated with water. There is periodic flooding or ponding and the moisture usually does not drain well. The roots of several dry plants cannot withstand the moisture levels of wet soil.  Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.  Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.","The white, fine-grained wood is used for furniture, flooring, cabinetry, paneling, veneer, musical instruments, tool handles, cutting boards, butcher blocks, wooden bowls, boxes and crates, and many other uses. Red maple is an excellent wood for fuel and is also used for saw timber and pulpwood.",https://plants.usda.gov/plantguide/pdf/pg_acru.pdf
Drummond's maple,Acer rubrum var. drummondii,"{20,30,40,50,60}","Wet, Wet Mesic, Mesic, Dry Mesic, Dry","{10,20}",Full Sun to Partial Shade,{30},3a (-40°F to -35°F),https://drive.google.com/open?id=16tA0IE0GTX2d5lNf9HXhZNonvBXHW5eh,"Wet Soils: Hydric or wet soils are characteristic of wetland or shoreline areas. The soils are usually saturated with water. There is periodic flooding or ponding and the moisture usually does not drain well. The roots of several dry plants cannot withstand the moisture levels of wet soil.  Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.  Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.","Humans have discovered a wide array of uses for Red Maple, ranging from lumber to pulp to veneers to firewood, and much more.",http://www.loyno.edu/lucec/natural-history-writings/drummond-red-maples-acer-rubrum-var-drummondii-color-winter
Silver Maple,Acer saccharinum,"{20,30}","Wet, Wet Mesic",{20},Full Sun to Partial Shade,{30},3a (-40°F to -35°F),https://drive.google.com/open?id=14lEfS45mnh2ZWFjwxAGfHNiGki5qvxoP,"Wet Soils: Hydric or wet soils are characteristic of wetland or shoreline areas. The soils are usually saturated with water. There is periodic flooding or ponding and the moisture usually does not drain well. The roots of several dry plants cannot withstand the moisture levels of wet soil. Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.","An infusion of the bark is used in the treatment of coughs, cramps and dysentery. The infusion is also applied externally to old, stubborn running sores. A compound infusion is used in the treatment of ""female complaints"".",http://www.naturalmedicinalherbs.net/herbs/a/acer-saccharinum=silver-maple.php
Sugar Maple / Rock Maple,Acer saccharum,{50},Dry Mesic,{20},Full Sun to Partial Shade,{50},5a (-20°F to -15°F),https://drive.google.com/open?id=1lOa7kfqGQeIBC5zsy-kwKDTI9kjWosPI,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.","Sugar maple is an important timber tree valued for its hard, heavy, and strong wood, commonly used to make furniture, paneling, flooring, and veneer. It is also used for gunstocks, tool handles, plywood dies, cutting blocks, woodenware, novelty products, sporting goods, bowling pins, and musical instruments.",https://plants.usda.gov/plantguide/pdf/pg_acsa3.pdf
Yarrow,Achillea millefolium,"{50,60}","Dry Mesic, Dry",{10},Full Sun,{30},3a (-40°F to -35°F),https://drive.google.com/open?id=11p_iSdNp3bFLmRy3Cf_zeOUxb5WaRbRv,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.","Yarrow is an herb. The above ground parts are used to make medicine. Yarrow is used for fever, common cold, hay fever, absence of menstruation, dysentery, diarrhea, loss of appetite, gastrointestinal (GI) tract discomfort, and to induce sweating. Some people chew the fresh leaves to relieve toothache.",https://www.rxlist.com/yarrow/supplements.htm
Hot Water Plant,Achimenes,{40},Mesic,{30},Partial or Dappled Shade,{100},10a (30°F to 35°F),https://drive.google.com/open?id=1MrzWrqm14H9OOQ0p7AOBF_AkPeeok6dj,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Alpine Calamint,Acinos alpinus,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,{40},4a (-30°F to -25°F),https://drive.google.com/open?id=1Olw9bxu5Mul_K7cw1jWvtjKsPC6hpnyt,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",The leaves are used as a flavouring in cooked dishes and also as a tea substitute.,http://www.naturalmedicinalherbs.net/herbs/a/acinos-alpinus=alpine-calamint.php
Monkshood / Wolfsbane,Aconitum,{40},Mesic,{30},Partial or Dappled Shade,{50},5a (-20°F to -15°F),https://drive.google.com/open?id=1rrAR9XVJEiGjYRMyN57kq_EVdadJsQdc,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","Extracts of Aconitum species have been given orally in traditional medicine to reduce fever associated with colds, pneumonia, laryngitis, croup, and asthma; for pain, inflammation, and high blood pressure; as a diuretic; to cause sweating; to slow heart rate; and for sedation.",https://www.drugs.com/npc/aconite.html
